Airport Name,Latitude,Longitude
HQ Eastern Air Command Helipad,25.53818321N,91.82655334E
Hubli Airport (HBX/VAHB),15.36170006N,75.0848999E
Hulyal Helipad,34.4335022N,75.77258301E
Hyderabad Defence College Heliport,17.50104141N,78.52507782E
Hyderabad DRDO Helipad,17.33543777N,78.49893951E
Hyderabad International Airport (HYD/VOHS),17.22887611N,78.43279266E
ICRISAT Helipad,17.51528931N,78.27507019E
Indal-Vijayanagar Aerodrome (VDY/VOJV),15.17475986N,76.63434601E
Indian Military Academy Helipad,30.34138489N,77.97463989E
Indore International Airport (IDR/VAID),22.72179985N,75.80110168E
INS Adyar,13.07319164N,80.29003906E
INS Baaz (VOBX),7.01304007N,93.92279816E
INS Chilika,19.68298149N,85.19848633E
INS Dronacharya Helipad,9.95211601N,76.23957825E
INS Garuda (VOCC),9.94451523N,76.274086E
INS Kalinga Heliport,17.85976028N,83.41496277E
INS Parundu (VORM),9.32509041N,78.97149658E
INS Rajali (VOAR),13.07120037N,79.69120026E
Itanagar Helipad,27.11167526N,93.69610596E
Jabalpur Airport (JLR/VAJB),23.17779922N,80.05200195E
Jagdalpur Airport (JGB),19.07430077N,82.03679657E
Jaipur Airport (JAI/VIJP),26.82419968N,75.81220245E
Jaipur Heliport,26.93497086N,75.76865387E
Jaisalmer Air Force Station (JSA/VIJR),26.88870049N,70.86499786E
Jaisalmer Helipad,26.91364861N,70.89942169E
Jaisalmer Indira Helipad,26.92292976N,70.93906403E
Jaisalmer Kalyan Ghat Helipad,26.93573761N,70.98403168E
Jakkur Airfield,13.0766983N,77.59765625E
Jalahalli Helipad,13.07609367N,77.54542542E
Jalgaon Airport,20.96220016N,75.62670135E
Jalgaon Helipad,20.9453373N,75.55122375E
Jallowal Airport,31.55999947N,75.34130096E
Jammu Airport (Satwari Airport) (IXJ/VIJU),32.68909836N,74.83740234E
Jamnagar AFS (JGA/VAJM),22.46549988N,70.01260376E
Jamnagar Helipad,22.44101334N,70.0608139E
Jeypore Airport (PYB/VEJP),18.87999916N,82.55200195E
Jhansi Air Base (VIJN),25.49042511N,78.55921936E
Jharoli Army Heliport,32.28936005N,75.72753143E
Jharsuguda Airport (VEJH),21.91349983N,84.05039978E
Jhunjhunu Airport,28.1067009N,75.37560272E
Jodhpur AFS (JDH/VIJO),26.25110054N,73.04889679E
Jorhat AFS (JRH/VEJT),26.73150063N,94.17549896E
Juhu Aerodrome (VAJJ),19.09810066N,72.834198E
Junagadh Airport (IXK/VAKS),21.31710052N,70.270401E
Kailashahar Airport (IXH/VEKR),24.30820084N,92.00720215E
Kakching Helipad,24.4818573N,94.00567627E
Kalaikunda AFS (VEDX),22.33950043N,87.21450043E
Kalka Airport,30.8245697N,76.88365173E
Kalpi AFS,30.27924538N,76.99155426E
Kalyan airstrip,19.1792202N,73.13918304E
Kalyanpur Airport,26.52039909N,80.23290253E
Kamalpur Airport (IXQ/VEKM),24.1332283N,91.8102951E
Kanchrapara Airfield,22.92293358N,88.45993042E
Kandla Airport (IXY/VAKE),23.11269951N,70.10030365E
kanha,22.09263802N,80.59552765E
Kannur Heliport,11.86257172N,75.36647797E
Kannur International Airport (CNN/VOKN),11.91757679N,75.54431152E
Kanpur Airport (KNU/VIKA),26.4409008N,80.36438751E
Kanpur Helipad,26.47945786N,80.35355377E
Kapurthala Helipad,31.40854073N,75.40468597E
Karad Airport,17.28590012N,74.15809631E
Kargil Airport,34.52429962N,76.15589905E
Karnal Airport,29.71482658N,77.03728485E
Karwar Naval Base Heliport,14.76673317N,74.15504456E
Kathanian Airfield,31.64707184N,74.75369263E
Katra Heliport,32.99021912N,74.94796753E
Kavaratti Helipad,10.54166794N,72.61604309E
Kayathar Airstrip,8.97138882N,77.82062531E
Khajuraho Airport (HJR/VAKJ),24.81719971N,79.91860199E
Khanabal Helipad,33.74367142N,75.12545013E
Khandwa Airport,21.8571167N,76.33695221E
Khargon Govt. Airstrip,21.81002998N,75.55443573E
Khowai Airport (IXN/VEKW),24.06189919N,91.60389709E
Kishangarh Airport,26.59167671N,74.81446075E
Kohima Helipad,25.66306686N,94.11392975E
Koirengei Airstrip,24.87245941N,93.92568207E
Kolhapur Airport (KLH/VAKP),16.66469955N,74.28939819E
Koppal Aerodrome (VOKP),15.35910034N,76.21929932E
Korba Airport,22.4141674N,82.71944427E
Kota Airport (KTU/VIKO),25.16020012N,75.84559631E
Kota Helipad,25.19559669N,75.86973572E
Kottayam Helipad,9.59106731N,76.53358459E
Kovilpatti Airport,9.15385818N,77.82108307E
Kozhikode International Airport (CCJ/VOCL),11.13638401N,75.9536438E
Kumbhirgram AFS (IXS/VEKU),24.91290092N,92.97869873E
Kunjali Helipad,18.89527321N,72.80849457E
Kurnool Airport,15.71524811N,78.17610168E
Kushinagar Airfield,26.77684975N,83.88861847E
Laitkor Nonglum Helipad,25.51215172N,91.88109589E
Lakhimpur Kheri Airport,28.46901703N,80.57215118E
Lakhimpur Police Helipad,27.94535255N,80.78958893E
Lalitpur Airport (VILP),24.71699905N,78.41699982E
Latur Airport (LTU/VALT),18.41150093N,76.46469879E
Lebong Helipad,27.05908394N,88.27773285E
Ledo Airfield,27.30249977N,95.73722076E
Leh AFS (IXL/VILH),34.13589859N,77.54650116E
Leh Helipad,34.12866974N,77.53653717E
Leh Heliport,34.12700653N,77.5556488E
Lengpui Airport,23.83982658N,92.61985779E
Lilabari Airport (IXI/VELR),27.2954998N,94.09760284E
Lohegaon AFS (PNQ/VAPO),18.58250046N,73.91944122E
Lokpriya Gopinath Bordoloi International Airport (GAU/VEGT),26.10610008N,91.58589935E
LPU Helipad,31.25426102N,75.7029953E
Lucknow Helipad,26.81726074N,80.93064117E
Ludhiana Airport (LUH/VILD),30.85470009N,75.95259857E
Lunglei Helipad,22.86838341N,92.76329803E
Machuka Advanced Landing Ground,28.60245895N,94.12613678E
Madhubani Airport,26.32916641N,86.05999756E
Madurai Airport (IXM/VOMD),9.83450985N,78.09339905E
Mahalaxmi Race Course Helipad,18.98203278N,72.82156372E
Maharajpur AFS (GWL/VIGR),26.29330063N,78.22779846E
Malda Airport (LDA/VEMH),25.01044655N,88.12570953E
Manauri AFS,25.47678375N,81.67172241E
Mandore AFS,26.34086227N,73.01368713E
Mangalore International Airport (IXE/VOML),12.95459938N,74.88673401E
Mathura Heliport,27.4642334N,77.68241882E
Meerut Cantonment Helipad,29.01521111N,77.7179718E
Meerut Helipad,28.98570251N,77.71851349E
Meerut Sw Airport,28.9048996N,77.6772995E
Mehna Heliport,30.23380089N,75.00883484E
